id,lon,lat,year,month,day,hour,drogue,u,v,sst,season
9619176,39.951,-8.674,1998,3,26,6,0,-0.1719,0.037,30.396,NE
9619176,39.935,-8.657,1998,3,26,12,0,-0.0346,0.1488,30.395,NE
9619176,39.924,-8.598,1998,3,26,18,0,-0.0332,0.0846,30.362,NE
9619176,39.9,-8.608,1998,3,27,0,0,-0.0683,-0.0099,30.138,NE
9619176,39.877,-8.591,1998,3,27,6,0,-0.0908,0.0802,NaN,NE
9619176,39.856,-8.57,1998,3,27,12,0,-0.0729,0.0966,NaN,NE
9619176,39.835,-8.548,1998,3,27,18,0,-0.0628,0.117,NaN,NE
9619176,39.815,-8.526,1998,3,28,0,0,-0.0718,0.1166,NaN,NE
9619176,39.797,-8.502,1998,3,28,6,0,-0.0908,0.1069,NaN,NE
9619176,39.781,-8.478,1998,3,28,12,0,-0.0574,0.1072,30.714,NE
9619176,39.767,-8.453,1998,3,28,18,0,-0.0878,0.1259,NaN,NE
9619176,39.756,-8.426,1998,3,29,0,0,-0.0737,0.112,30.389,NE
9619176,39.747,-8.396,1998,3,29,6,0,-0.0298,0.1458,30.421,NE
9619176,39.754,-8.357,1998,3,29,12,0,0.0872,0.2086,31.085,NE
9619176,39.778,-8.301,1998,3,29,18,0,-0.0568,0.2679,NaN,NE
9619176,39.721,-8.245,1998,3,30,0,0,NaN,NaN,NaN,NE
9727913,39.967,-8.725,1998,9,20,6,0,-0.047,0.6316,26.102,SE
9727913,39.983,-8.579,1998,9,20,12,0,0.1146,0.73740000000000006,26.29,SE
9727913,39.995,-8.407,1998,9,20,18,0,0.1354,0.7482,26.162,SE
26218,39.994,-7.829,2000,6,2,6,0,0.049,0.3256,26.895,SE
2344299,39.885,-9.221,2005,6,6,18,0,-0.2688,0.3924,27.861,SE
2344299,39.852,-9.135,2005,6,7,0,0,-0.1619,0.433,27.786,SE
2344299,39.809,-9.025,2005,6,7,6,0,-0.0935,0.5886,27.789,SE
2344299,39.815,-8.876,2005,6,7,12,0,-0.1667,0.5845,27.943,SE
2344299,39.736,-8.768,2005,6,7,18,0,-0.2493,0.5863,27.854,SE
2344299,39.701,-8.623,2005,6,8,0,0,-0.058,0.6586,27.809,SE
2344299,39.699,-8.482,2005,6,8,6,0,0.0308,0.674,27.778,SE
2344299,39.708,-8.33,2005,6,8,12,0,0.102,0.7125,27.851,SE
2344299,39.73,-8.176,2005,6,8,18,0,NaN,NaN,27.682,SE
53390,39.935,-8.796,2007,9,3,0,0,-0.2422,0.4365,25.852,SE
53390,39.881,-8.699,2007,9,3,6,0,-0.26,0.4676,26.005,SE
53390,39.818,-8.594,2007,9,3,12,0,-0.1934,0.4662,26.391,SE
53390,39.779,-8.502,2007,9,3,18,0,-0.0825,0.5196,26.098,SE
53390,39.755,-8.374,2007,9,4,0,0,-0.0255,0.6206,25.981,SE
53390,39.748,-8.24,2007,9,4,6,0,0.1523,0.7386,NaN,SE
53390,39.802,-8.067,2007,9,4,12,0,NaN,NaN,NaN,SE
45957,39.978,-9,2005,8,11,0,1,-0.4876,0.3321,25.637,SE
45957,39.9,-8.896,2005,8,11,6,1,-0.249,0.5696,25.675,SE
45957,39.88,-8.777,2005,8,11,12,1,0.1395,0.6372,25.96,SE
45957,39.955,-8.647,2005,8,11,18,1,0.3387,0.5299,25.765,SE
45957,39.943,-8.462,2005,8,13,0,1,-0.3725,0.3732,25.648,SE
45957,39.898,-8.363,2005,8,13,6,1,-0.187,0.717,25.679,SE
45957,39.87,-8.182,2005,8,13,12,1,0.1167,0.8489,25.867,SE
45957,39.944,-8.031,2005,8,13,18,1,0.4493,0.8353,25.733,SE
45976,39.883,-9.224,2005,5,23,6,1,-0.1974,0.4579,27.725,SE
45976,39.839,-9.128,2005,5,23,12,1,-0.1846,0.4797,27.65,SE
45976,39.811,-9.036,2005,5,23,18,1,-0.1208,0.4864,27.614,SE
45976,39.791,-8.938,2005,5,24,0,1,-0.1617,0.4839,27.653,SE
45976,39.747,-8.847,2005,5,24,6,1,-0.1738,0.421,27.635,SE
45976,39.723,-8.774,2005,5,24,12,1,-0.0629,0.4122,27.714,SE
45976,39.723,-8.686,2005,5,24,18,1,-0.0497,0.4934,27.698,SE
45976,39.704,-8.581,2005,5,25,0,1,-0.0295,0.5288,27.658,SE
45976,39.711,-8.48,2005,5,25,6,1,0.0394,0.5851,27.653,SE
45976,39.719,-8.352,2005,5,25,12,1,0.0934,0.6199,27.653,SE
45976,39.748,-8.238,2005,5,25,18,1,0.1056,0.5353,27.65,SE
45976,39.761,-8.143,2005,5,26,0,1,0.1717,0.4588,27.618,SE
45976,39.815,-8.059,2005,5,26,6,1,0.3856,0.6402,27.619,SE
45976,39.912,-7.893,2005,5,26,12,1,0.4503,0.9455,27.616,SE
45976,39.991,-7.689,2005,5,26,18,1,0.1648,1.1407,27.587,SE
46025,39.841,-9.258,2005,5,30,0,1,-0.2121,0.5265,27.403,SE
46025,39.8,-9.151,2005,5,30,6,1,-0.1937,0.6216,27.419,SE
46025,39.765,-9.015,2005,5,30,12,1,-0.1309,0.7038,27.507,SE
46025,39.748,-8.876,2005,5,30,18,1,-0.1046,0.7051,27.448,SE
46025,39.724,-8.739,2005,5,31,0,1,-0.0475,0.7111,27.403,SE
46025,39.73,-8.598,2005,5,31,6,1,0.0423,0.6572,27.434,SE
46025,39.74,-8.483,2005,5,31,12,1,0.0532,0.6546,27.586,SE
46025,39.751,-8.342,2005,5,31,18,1,0.1106,0.6934,27.506,SE
46025,39.784,-8.212,2005,6,1,0,1,0.2119,0.6304,27.468,SE
46025,39.834,-8.096,2005,6,1,6,1,0.3016,0.691,27.47,SE
46025,39.902,-7.942,2005,6,1,12,1,0.3294,0.9517,27.648,SE
46025,39.963,-7.724,2005,6,1,18,1,0.1325,1.1908,27.54,SE
36163,39.942,-9.102,2008,8,21,6,0,-0.1976,0.7286,NaN,SE
36163,39.917,-8.933,2008,8,21,12,0,-0.2205,0.7418,NaN,SE
36163,39.836,-8.784,2008,8,21,18,0,-0.2766,0.7305,NaN,SE
36163,39.783,-8.621,2008,8,22,0,0,-0.11,0.7689,NaN,SE
36163,39.772,-8.455,2008,8,22,6,0,-0.0031,0.7903,NaN,SE
36163,39.77,-8.281,2008,8,22,12,0,-0.002,0.7553,NaN,SE
36163,39.752,-8.129,2008,8,22,18,0,0.0999,0.6057,NaN,SE
36163,39.785,-8.017,2008,8,23,0,0,0.1338,0.2127,NaN,SE
36163,39.786,-8.015,2008,8,23,6,0,NaN,NaN,NaN,SE
57899,39.915,-9.001,2006,8,16,0,0,-0.4367,0.7054,NaN,SE
57899,39.835,-8.85,2006,8,16,6,0,-0.2501,0.7586,NaN,SE
57899,39.804,-8.684,2006,8,16,12,0,-0.0616,0.8559,NaN,SE
57899,39.789,-8.503,2006,8,16,18,0,0.0732,0.902,NaN,SE
57899,39.813,-8.319,2006,8,17,0,0,0.298,0.8996,NaN,SE
57899,39.887,-8.13,2006,8,17,6,0,0.4638,1.0797,NaN,SE
57899,39.974,-7.874,2006,8,17,12,0,0.3583,1.3616,NaN,SE
59374,39.984,-8.933,2006,11,28,0,0,-0.1196,0.4909,28.321,NE
59374,39.965,-8.822,2006,11,28,6,0,-0.0771,0.5004,28.462,NE
59374,39.947,-8.71,2006,11,28,12,0,-0.0827,0.5205,28.293,NE
59374,39.927,-8.593,2006,11,28,18,0,-0.0567,0.5036,28.288,NE
59374,39.916,-8.479,2006,11,29,0,0,0.0436,0.5221,28.11,NE
59374,39.947,-8.358,2006,11,29,6,0,0.1181,0.6483,28.187,NE
59374,39.969,-8.192,2006,11,29,12,0,0.1483,0.7337,28.22,NE
52948,39.946,-7.58,2007,4,13,12,0,-0.5352,0.9106,29.612,IN
63908,39.864,-9.271,2007,6,23,0,1,-0.1462,0.9849,26.279,SE
63908,39.859,-9.074,2007,6,23,6,1,-0.0743,1.002,26.272,SE
63908,39.835,-8.88,2007,6,23,12,1,-0.0644,1.008,26.304,SE
63908,39.834,-8.68,2007,6,23,18,1,-0.005,1.0321,26.272,SE
63908,39.833,-8.476,2007,6,24,0,1,0.1366,1.0092,26.266,SE
63908,39.887,-8.286,2007,6,24,6,1,0.2847,1.0344,26.245,SE
63908,39.945,-8.072,2007,6,24,12,1,0.3448,1.2299,26.257,SE
71123,39.994,-9.192,2007,11,10,12,1,-0.1667,0.3253,27.828,NE
71123,39.969,-9.127,2007,11,10,18,1,-0.1791,0.3969,27.683,NE
71123,39.923,-9.037,2007,11,11,0,1,-0.2072,0.4221,27.554,NE
71123,39.887,-8.962,2007,11,11,6,1,-0.1884,0.3769,27.598,NE
71123,39.849,-8.89,2007,11,11,12,1,-0.1471,0.3854,28.141,NE
71123,39.83,-8.812,2007,11,11,18,1,-0.0604,0.4264,27.98,NE
71123,39.826,-8.723,2007,11,12,0,1,-0.0873,0.4288,27.645,NE
71123,39.795,-8.644,2007,11,12,6,1,-0.0689,0.4639,27.623,NE
71123,39.799,-8.542,2007,11,12,12,1,-0.0528,0.493,27.761,NE
71123,39.775,-8.452,2007,11,12,18,1,-0.0247,0.4844,27.73,NE
71123,39.789,-8.353,2007,11,13,0,1,0.0587,0.4778,27.641,NE
71123,39.798,-8.265,2007,11,13,6,1,0.0745,0.4578,27.669,NE
71123,39.818,-8.174,2007,11,13,12,1,0.1505,0.5126,27.895,NE
71123,39.856,-8.065,2007,11,13,18,1,0.2132,0.6169,27.733,NE
71123,39.902,-7.933,2007,11,14,0,1,0.182,0.6968,27.585,NE
71123,39.928,-7.792,2007,11,14,6,1,0.0313,0.8716,27.501,NE
71123,39.914,-7.592,2007,11,14,12,1,-0.2096,0.8066,27.449,NE
40549,39.869,-9.164,2008,5,5,6,0,-0.2954,0.8512,27.737,SE
40549,39.815,-8.987,2008,5,5,12,0,-0.3522,0.8671,28.13,SE
40549,39.72,-8.813,2008,5,5,18,0,-0.3155,0.8093,27.889,SE
40549,39.678,-8.662,2008,5,6,0,0,-0.1532,0.7824,27.766,SE
40549,39.65,-8.493,2008,5,6,6,0,0.0089,0.8649,27.763,SE
40549,39.674,-8.309,2008,5,6,12,0,0.0691,0.82,28.137,SE
40549,39.671,-8.158,2008,5,6,18,0,-0.0245,0.505,27.992,SE
40549,39.652,-8.1,2008,5,7,0,0,-0.109,0.0401,27.681,SE
40549,39.619,-8.129,2008,5,7,6,0,NaN,NaN,27.634,SE
70959,39.967,-8.557,2010,8,8,18,0,-0.2653,0.7077,25.646,SE
70959,39.955,-8.405,2010,8,9,0,0,-0.0744,0.7169,25.652,SE
70959,39.918,-8.255,2010,8,9,6,0,-0.0577,0.74,25.761,SE
70959,39.912,-8.098,2010,8,9,12,0,0.0224,0.8181,25.93,SE
70959,39.905,-7.92,2010,8,9,18,0,0.1682,1.0548,25.779,SE
70959,39.952,-7.668,2010,8,10,0,0,-0.01,1.3353,25.806,SE
70863,39.991,-8.152,2010,7,20,0,0,-0.0633,0.7255,26.265,SE
70863,39.99,-7.987,2010,7,20,6,0,0.1698,0.9016,26.248,SE
71203,39.722,-9.263,2008,11,27,0,0,-0.0817,0.4703,28.331,NE
71203,39.697,-9.166,2008,11,27,6,0,-0.0552,0.5354,28.223,NE
71203,39.691,-9.06,2008,11,27,12,0,-0.0197,0.578,28.252,NE
71203,39.684,-8.945,2008,11,27,18,0,-0.0456,0.5953,28.3,NE
71203,39.67,-8.82,2008,11,28,0,0,-0.0516,0.587,28.199,NE
71203,39.661,-8.711,2008,11,28,6,0,-0.0517,0.5314,28.214,NE
71203,39.646,-8.608,2008,11,28,12,0,-0.004,0.5479,28.224,NE
71203,39.65,-8.499,2008,11,28,18,0,0.0382,0.523,28.085,NE
71203,39.662,-8.405,2008,11,29,0,0,0.112,0.4951,28.003,NE
71203,39.693,-8.309,2008,11,29,6,0,0.2075,0.5289,27.87,NE
71203,39.737,-8.203,2008,11,29,12,0,0.2861,0.5922,27.895,NE
71203,39.794,-8.093,2008,11,29,18,0,0.3564,0.7673,27.825,NE
71203,39.864,-7.906,2008,11,30,0,0,0.3559,1.0575,27.737,NE
71203,39.926,-7.685,2008,11,30,6,0,0.1155,0.9313,27.818,NE
71203,39.895,-7.543,2008,11,30,12,0,-0.021,0.3623,27.83,NE
71203,39.903,-7.547,2008,11,30,18,0,0.135,0.4888,27.691,NE
71204,39.845,-9.28,2008,11,1,18,0,-0.2848,0.4934,27.462,NE
71204,39.798,-9.18,2008,11,2,0,0,-0.3334,0.5018,27.236,NE
71204,39.692,-9.082,2008,11,2,6,0,-0.2974,0.4517,27.252,NE
71204,39.662,-9.004,2008,11,2,12,0,-0.2253,0.3686,27.789,NE
71204,39.577,-8.94,2008,11,2,18,0,-0.242,0.1096,27.39,NE
71204,39.545,-8.959,2008,11,3,0,0,-0.0827,-0.0482,NaN,NE
71204,39.526,-8.957,2008,11,3,6,0,NaN,NaN,NaN,NE
79023,39.972,-9.237,2008,12,4,0,1,-0.2988,0.453,28.495,NE
79023,39.904,-9.148,2008,12,4,6,1,-0.2683,0.4694,28.741,NE
79023,39.867,-9.054,2008,12,4,12,1,-0.1574,0.5352,29.149,NE
79023,39.842,-8.939,2008,12,4,18,1,-0.1043,0.5989,29.007,NE
79023,39.826,-8.82,2008,12,5,0,1,-0.0898,0.6548,28.782,NE
79023,39.807,-8.683,2008,12,5,6,1,-0.0744,0.6756,28.933,NE
79023,39.797,-8.556,2008,12,5,12,1,-0.0179,0.6788,29.461,NE
79023,39.8,-8.418,2008,12,5,18,1,0.015,0.6563,29.134,NE
79023,39.802,-8.299,2008,12,6,0,1,0.1656,0.613,28.779,NE
79023,39.865,-8.178,2008,12,6,6,1,0.3105,0.7079,28.942,NE
79023,39.924,-8.023,2008,12,6,12,1,0.2446,0.8693,29.319,NE
79023,39.961,-7.839,2008,12,6,18,1,0.0609,1.1379,29.214,NE
79023,39.948,-7.578,2008,12,7,0,1,-0.1498,1.314,28.974,NE
79023,39.797,-7.546,2008,12,14,0,1,0.1112,-0.184,28.608,NE
79023,39.832,-7.546,2008,12,14,6,1,0.1202,-0.1035,28.643,NE
79023,39.844,-7.586,2008,12,14,12,1,0.1651,-0.1504,28.863,NE
79023,39.896,-7.605,2008,12,14,18,1,0.2234,-0.1101,28.833,NE
79023,39.931,-7.629,2008,12,15,0,1,0.0839,0.2476,28.683,NE
79023,39.929,-7.508,2008,12,15,6,1,0.0227,0.7268,28.475,NE
75251,39.988,-8.991,2009,8,26,0,0,-0.3351,0.7611,25.166,SE
75251,39.936,-8.814,2009,8,26,6,0,-0.1916,0.8658,25.227,SE
75251,39.898,-8.612,2009,8,26,12,0,-0.101,0.9305,25.381,SE
75251,39.871,-8.419,2009,8,26,18,0,0.1084,0.907,25.277,SE
75251,39.909,-8.233,2009,8,27,0,0,0.304,1.0094,25.257,SE
75251,39.965,-7.999,2009,8,27,6,0,0.4164,1.3029,25.324,SE
75253,39.768,-9.229,2009,9,21,18,0,-0.15,0.9283,25.751,SE
75253,39.72,-9.048,2009,9,22,0,0,-0.1504,0.9037,25.606,SE
75253,39.691,-8.864,2009,9,22,6,0,0.0488,0.9277,25.757,SE
75253,39.725,-8.68,2009,9,22,12,0,0.2367,0.9338,26.336,SE
75253,39.76,-8.494,2009,9,22,18,0,0.2347,0.9294,25.801,SE
75253,39.787,-8.312,2009,9,23,0,0,0.307,0.8166,25.6,SE
75253,39.859,-8.169,2009,9,23,6,0,0.4764,0.787,25.812,SE
75253,39.955,-7.997,2009,9,23,12,0,0.5322,0.8696,26.518,SE
84156,39.967,-9.158,2011,10,13,0,0,-0.3863,0.5466,26.078,IN
84156,39.877,-9.038,2011,10,13,6,0,-0.2935,0.6317,26.107,IN
84156,39.818,-8.902,2011,10,13,12,0,-0.2333,0.7407,26.342,IN
84156,39.759,-8.735,2011,10,13,18,0,-0.0527,0.8467,26.241,IN
84156,39.772,-8.557,2011,10,14,0,0,0.0871,0.8654,26.155,IN
84156,39.769,-8.382,2011,10,14,6,0,0.1509,0.8653,26.226,IN
84156,39.805,-8.203,2011,10,14,12,0,0.3877,0.977,26.381,IN
84156,39.891,-7.982,2011,10,14,18,0,0.4749,1.225,26.113,IN
84156,39.962,-7.709,2011,10,15,0,0,0.2085,1.4644,25.969,IN
90506,39.995,-9.208,2010,5,18,0,1,-0.109,0.652,27.959,SE
90506,39.975,-9.074,2010,5,18,6,1,-0.0655,0.7501,27.988,SE
90506,39.969,-8.915,2010,5,18,12,1,-0.1521,0.9167,28.078,SE
90506,39.915,-8.716,2010,5,18,18,1,-0.072,1.0432,28.008,SE
90506,39.941,-8.508,2010,5,19,0,1,0.1724,0.9635,27.99,SE
90506,39.983,-8.34,2010,5,19,6,1,0.2327,0.8843,27.994,SE
70940,39.808,-9.213,2011,10,9,12,1,0.0494,0.6775,25.673,IN
70940,39.806,-9.07,2011,10,9,18,1,-0.0319,0.7766,25.506,IN
70940,39.795,-8.91,2011,10,10,0,1,-0.0515,0.7978,25.416,IN
70940,39.786,-8.759,2011,10,10,6,1,-0.0392,0.7483,25.434,IN
70940,39.78,-8.618,2011,10,10,12,1,-0.009,0.6955,25.631,IN
70940,39.782,-8.487,2011,10,10,18,1,0.018,0.6735,25.517,IN
70940,39.787,-8.355,2011,10,11,0,1,0.1287,0.6989,25.447,IN
70940,39.833,-8.214,2011,10,11,6,1,0.3031,0.672,25.547,IN
70940,39.906,-8.092,2011,10,11,12,1,0.4126,0.7619,25.772,IN
70940,39.995,-7.916,2011,10,11,18,1,0.4241,0.9219,25.712,IN
109404,39.992,-8.52,2013,6,27,6,1,-0.1502,1.3015,25.736,SE
109404,39.966,-8.28,2013,6,27,12,1,-0.0025,1.2169,26.03,SE
109404,39.991,-8.044,2013,6,27,18,1,0.0966,1.3675,25.75,SE
101590,39.971,-8.311,2014,2,4,6,1,-0.0716,-0.099,28.835,NE
101590,39.972,-8.337,2014,2,4,12,1,-0.0365,-0.1267,28.978,NE
101590,39.956,-8.36,2014,2,4,18,1,-0.0191,-0.185,28.839,NE
101590,39.964,-8.409,2014,2,5,0,1,-0.0128,-0.1802,28.759,NE
101590,39.951,-8.431,2014,2,5,6,1,-0.0732,-0.1191,28.795,NE
101590,39.936,-8.456,2014,2,5,12,1,-0.0919,-0.1857,28.933,NE
101590,39.915,-8.503,2014,2,5,18,1,-0.0828,-0.2653,28.788,NE
101590,39.903,-8.559,2014,2,6,0,1,-0.0629,-0.3021,28.703,NE
101590,39.891,-8.621,2014,2,6,6,1,-0.0125,-0.2989,28.674,NE
101590,39.898,-8.676,2014,2,6,12,1,-0.016,-0.3343,28.762,NE
101590,39.884,-8.752,2014,2,6,18,1,-0.024,-0.3951,28.72,NE
101590,39.889,-8.83,2014,2,7,0,1,0.0694,-0.4163,28.629,NE
101590,39.912,-8.915,2014,2,7,6,1,0.1054,-0.4121,28.601,NE
101590,39.93,-8.991,2014,2,7,12,1,0.1446,-0.413,28.633,NE
101590,39.969,-9.076,2014,2,7,18,1,0.1399,-0.4175,28.608,NE
101590,39.985,-9.154,2014,2,8,0,1,0.1231,-0.391,28.564,NE
38628,39.982,-8.882,2014,5,21,12,1,-0.3865,0.6348,27.793,SE
38628,39.912,-8.759,2014,5,21,18,1,-0.3278,0.6526,27.735,SE
38628,39.854,-8.627,2014,5,22,0,1,-0.2401,0.6724,27.669,SE
38628,39.817,-8.497,2014,5,22,6,1,-0.2477,0.6545,27.682,SE
38628,39.756,-8.371,2014,5,22,12,1,-0.2606,0.6094,27.773,SE
38628,39.715,-8.258,2014,5,22,18,1,-0.0946,0.5009,27.689,SE
38628,39.719,-8.176,2014,5,23,0,1,0.1349,0.437,27.65,SE
38628,39.768,-8.088,2014,5,23,6,1,0.3369,0.5448,27.674,SE
38628,39.851,-7.963,2014,5,23,12,1,0.408,0.8823,27.734,SE
38628,39.928,-7.743,2014,5,23,18,1,0.2136,1.3824,27.675,SE
127051,39.967,-9.088,2015,9,14,0,0,-0.3536,0.3467,25.972,SE
127051,39.904,-8.987,2015,9,14,6,0,-0.3317,0.3822,25.958,SE
127051,39.833,-8.889,2015,9,14,12,0,-0.3606,0.4156,26.022,SE
127051,39.746,-8.785,2015,9,14,18,0,-0.2714,0.5092,26.014,SE
127051,39.697,-8.656,2015,9,15,0,0,-0.1322,0.6431,25.992,SE
127051,39.671,-8.495,2015,9,15,6,0,0.0026,0.7718,25.975,SE
127051,39.685,-8.318,2015,9,15,12,0,0.0047,0.7325,26.063,SE
127051,39.656,-8.183,2015,9,15,18,0,-0.1502,0.4586,25.989,SE
127051,39.601,-8.123,2015,9,16,0,0,-0.2084,0.2203,25.945,SE
127051,39.557,-8.081,2015,9,16,6,0,-0.1327,0.2564,26.167,SE
127051,39.534,-8.011,2015,9,16,12,0,-0.1143,0.3073,26.572,SE
127051,39.49,-7.954,2015,9,16,18,0,-0.0546,0.2863,26.895,SE
127051,39.488,-7.897,2015,9,17,0,0,0.0391,0.1849,27.164,SE
127051,39.49,-7.88,2015,9,17,6,0,NaN,NaN,27.182,SE
139775,39.984,-9.022,2016,2,23,0,1,-0.2353,0.2147,29.265,NE
139775,39.935,-8.995,2016,2,23,6,1,-0.1301,0.1557,29.32,NE
139775,39.933,-8.961,2016,2,23,12,1,-0.0535,0.1639,29.74,NE
139775,39.914,-8.931,2016,2,23,18,1,0.0164,0.2075,29.51,NE
139775,39.939,-8.88,2016,2,24,0,1,0.0533,0.2624,29.296,NE
139775,39.935,-8.829,2016,2,24,6,1,0.023,0.264,29.542,NE
139775,39.949,-8.777,2016,2,24,12,1,0.0168,0.2989,30.135,NE
139775,39.941,-8.712,2016,2,24,18,1,0.004,0.3316,29.887,NE
139775,39.95,-8.647,2016,2,25,0,1,-0.0358,0.3899,29.577,NE
139775,39.927,-8.56,2016,2,25,6,1,-0.1332,0.3469,29.618,NE
139775,39.898,-8.512,2016,2,25,12,1,-0.0761,0.2719,30.208,NE
139775,39.898,-8.454,2016,2,25,18,1,-0.0075,0.301,29.92,NE
139775,39.895,-8.394,2016,2,26,0,1,0.0176,0.3275,29.56,NE
139775,39.904,-8.326,2016,2,26,6,1,-0.0718,0.2971,29.548,NE
139775,39.867,-8.278,2016,2,26,12,1,0.0165,0.2441,29.755,NE
139775,39.911,-8.23,2016,2,26,18,1,0.0858,0.2427,29.579,NE
139775,39.9,-8.183,2016,2,27,0,1,0.0683,0.2309,29.47,NE
139775,39.938,-8.14,2016,2,27,6,1,0.1083,0.2257,29.489,NE
139775,39.943,-8.095,2016,2,27,12,1,0.12,0.1781,29.616,NE
139775,39.985,-8.071,2016,2,27,18,1,0.1135,0.1904,29.536,NE
139775,39.987,-8.021,2016,2,28,0,1,0.0935,0.1944,29.446,NE
63040080,39.99,-8.326,2017,7,1,12,0,-0.017,0.8314,26.884,SE
63471600,39.964,-9.124,2017,6,24,12,1,-0.2297,1.1612,26.722,SE
63471600,39.927,-8.884,2017,6,24,18,1,-0.1074,1.1982,26.704,SE
63471600,39.921,-8.656,2017,6,25,0,1,0.0241,1.1742,26.663,SE
63471600,39.937,-8.426,2017,6,25,6,1,0.2149,1.2027,26.643,SE
60751420,39.849,-9.297,2015,9,29,0,1,-0.1964,0.2958,26.524,SE
60751420,39.803,-9.245,2015,9,29,6,1,-0.1938,0.2717,26.62,SE
60751420,39.773,-9.191,2015,9,29,12,1,-0.1392,0.2707,27.11,SE
60751420,39.748,-9.139,2015,9,29,18,1,-0.1196,0.2712,26.751,SE
60751420,39.726,-9.085,2015,9,30,0,1,-0.115,0.2723,26.584,SE
60751420,39.703,-9.033,2015,9,30,6,1,-0.088,0.2985,26.633,SE
60751420,39.691,-8.968,2015,9,30,12,1,-0.072,0.3161,26.889,SE
60751420,39.675,-8.909,2015,9,30,18,1,-0.0939,0.3357,26.734,SE
60751420,39.654,-8.837,2015,10,1,0,1,-0.1053,0.3064,26.579,IN
60751420,39.633,-8.789,2015,10,1,6,1,-0.0641,0.2586,26.601,IN
60751420,39.629,-8.736,2015,10,1,12,1,-0.0219,0.284,26.739,IN
60751420,39.625,-8.679,2015,10,1,18,1,0.0047,0.3248,26.643,IN
60751420,39.631,-8.609,2015,10,2,0,1,0.0071,0.3297,26.517,IN
60751420,39.628,-8.55,2015,10,2,6,1,0.0178,0.3145,26.58,IN
60751420,39.638,-8.487,2015,10,2,12,1,0.0193,0.3475,26.904,IN
60751420,39.635,-8.414,2015,10,2,18,1,-0.0196,0.3517,26.721,IN
60751420,39.63,-8.349,2015,10,3,0,1,-0.012,0.2992,26.555,IN
60751420,39.631,-8.297,2015,10,3,6,1,-0.0349,0.3031,26.645,IN
60751420,39.617,-8.231,2015,10,3,12,1,-0.1565,0.1634,26.736,IN
60751420,39.569,-8.233,2015,10,3,18,1,-0.0645,-0.0124,26.576,IN
60751420,39.591,-8.236,2015,10,4,0,0,0.0478,-0.0615,26.519,IN
60751420,39.566,-8.251,2015,10,4,6,0,0.1034,-0.0375,26.674,IN
60751420,39.606,-8.244,2015,10,4,12,0,NaN,NaN,26.906,IN
